id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1369717489 ,7c9c017b-2137-331d-8f59-cc652be72be3,   -4.548000 ,  -47.183000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,AÇAILÂNDIA,Amazônia
 1369717481 ,07270ec6-7f34-3157-898a-b88a12aaa309,   -4.562000 ,  -44.592000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,PEDREIRAS,Cerrado
 1369717465 ,a03f2b4a-bdf1-3ef0-8a59-c98465e7d54c,   -4.633000 ,  -45.590000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MARAJÁ DO SENA,Cerrado
 1369717458 ,cfa32eac-d13f-39b5-90b8-a4bf31b61139,   -4.706000 ,  -46.164000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,SANTA LUZIA,Amazônia
 1369717449 ,1af16ba2-895c-3822-b2f3-28e343ff6dce,   -4.902000 ,  -44.900000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,ESPERANTINÓPOLIS,Cerrado
 1369717446 ,b3fd5bc0-4484-3222-a436-e784a1fe544b,   -4.903000 ,  -44.909000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,ESPERANTINÓPOLIS,Cerrado
 1369717424 ,1e9a3ada-9306-37e3-a9cd-20d454ad89a1,   -5.059000 ,  -46.196000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Amazônia
 1369717423 ,0b9e1ea7-d407-32e5-8e03-3e156dcedaa3,   -5.187000 ,  -46.767000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Amazônia
 1369717410 ,151062f9-1225-3f3b-bf1b-c412bd571ef5,   -5.196000 ,  -46.766000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Amazônia
 1369717392 ,14513d6b-2f55-3e53-aea9-2eaee6b8cf44,   -5.289000 ,  -44.650000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,TUNTUM,Cerrado
 1369717390 ,87414950-e8e1-368a-b0ac-9ac9385be2b6,   -5.289000 ,  -45.745000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JENIPAPO DOS VIEIRAS,Cerrado
 1369717388 ,5a0543e3-9b10-324a-9e8f-3ed06ba4883f,   -5.291000 ,  -44.483000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,PRESIDENTE DUTRA,Cerrado
 1369717381 ,f3e545c6-78e7-3541-86a5-e09bfb48da24,   -5.307000 ,  -46.317000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,ARAME,Amazônia
 1369717235 ,2c0407bd-0750-352f-8914-5bb4fbf3e44b,   -5.725000 ,  -45.376000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado
 1369717234 ,2006afa9-a94f-373e-b9d2-f73b8b4f7e5e,   -5.726000 ,  -45.385000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado
 1369717204 ,045cbf0d-3494-354e-a157-6eb1ad768712,   -5.788000 ,  -45.495000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,BARRA DO CORDA,Cerrado
 1369717198 ,1e2317f7-7017-3a00-a8b8-982a998ba621,   -5.796000 ,  -45.879000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,GRAJAÚ,Cerrado
 1369717173 ,bf500a4f-7ce6-3e80-9cfd-8d9f9ba216eb,   -5.820000 ,  -47.013000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MONTES ALTOS,Cerrado
 1369717172 ,83ee9e8e-012f-3587-acb1-51e1cc418b2a,   -5.825000 ,  -44.100000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FORTUNA,Cerrado
 1369717169 ,64d4e92a-5e40-3af2-903d-a52a1908d273,   -5.826000 ,  -44.109000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FORTUNA,Cerrado
 1369717168 ,6186b072-69b6-3197-b7df-f1aaf793b7c4,   -5.828000 ,  -44.119000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717163 ,59c13c98-044b-314e-889c-24e9ed4c10de,   -5.829000 ,  -44.128000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717160 ,b609cf75-d6e3-3335-b99d-94e3ab6986ff,   -5.836000 ,  -44.108000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717159 ,04852abc-c7ba-39b5-94fe-61f804621188,   -5.837000 ,  -44.117000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717155 ,8119abd9-f6ae-38d0-8faa-80e51cac4b44,   -5.838000 ,  -44.127000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717141 ,6835674e-864d-3e98-9250-bb45b5da0d43,   -5.845000 ,  -44.106000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,JATOBÁ,Cerrado
 1369717134 ,777d88b9-eaf8-3b2b-84da-3d025a4cc9ef,   -5.849000 ,  -44.960000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369717132 ,2aae2a68-deaa-3e89-963e-dc5727f208eb,   -5.850000 ,  -44.969000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716919 ,868b9001-c19f-3ed1-a5ef-6d98ad2f77a2,   -6.227000 ,  -45.740000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716911 ,a77a00f4-28e8-3e88-bef9-d6579a828573,   -6.228000 ,  -45.749000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716907 ,36d5eb78-a451-3cc3-8da5-4c1f3a96742d,   -6.235000 ,  -45.730000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716904 ,1c89a57d-11fb-3e01-9819-dd9c2d506e2d,   -6.236000 ,  -45.739000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716903 ,49e11f8c-f788-3b9e-875d-d29ec57bc3b1,   -6.237000 ,  -45.748000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716899 ,f2b1ede5-5e94-385f-8490-5471fcf79197,   -6.245000 ,  -45.738000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716896 ,12b468fe-529d-3936-8638-74656ab90048,   -6.246000 ,  -44.206000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716895 ,8604f29f-0e3d-3ef9-a70a-2a6f100d312f,   -6.247000 ,  -44.215000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716892 ,4a2126e4-368b-3a78-8104-76f10d8cb3b4,   -6.255000 ,  -45.097000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado
 1369716729 ,4fddf29f-8990-3fb3-9014-adbdfcab9ce7,   -6.595000 ,  -45.424000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716726 ,149cba44-3a3f-3775-94c2-ac43ccd23aa7,   -6.604000 ,  -45.422000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716716 ,c7fc63e0-fd29-36c0-8c80-39a290c179d9,   -6.631000 ,  -44.772000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716711 ,be480209-7ec6-3e1a-a8c5-a8b7a231cd2a,   -6.632000 ,  -44.781000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716690 ,ba3d8419-5091-3c08-8e83-e9bdedbf84fa,   -6.682000 ,  -44.746000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716683 ,1e42a1eb-d1eb-34f2-984d-a4dcd55ed837,   -6.690000 ,  -44.045000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,NOVA IORQUE,Cerrado
 1369716681 ,1e37f743-3c61-3636-b26c-b4b38ab3e8b3,   -6.691000 ,  -45.385000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716676 ,36a0cb5e-8041-30bd-b731-f84a5d4e67c8,   -6.693000 ,  -45.394000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716673 ,a3143b3b-3768-3223-bd02-241d77bdc909,   -6.694000 ,  -45.403000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
 1369716667 ,d551c7f7-9854-3d8f-885d-932884064db9,   -6.701000 ,  -45.387000 ,2019-08-28 16:40:00,Brasil,MARANHÃO,MIRADOR,Cerrado
